786-O_rep1,786-O_rep1_1.fq.gz,786-O_rep1_2.fq.gz,fq,Cellline,NA
786-O_rep2,786-O_rep2_1.fq.gz,786-O_rep2_2.fq.gz,fq,Cellline,NA
786-O_rep3,786-O_rep3_1.fq.gz,786-O_rep3_2.fq.gz,fq,Cellline,NA
UOK109_rep1,UOK109_rep1_1.fq.gz,UOK109_rep1_2.fq.gz,fq,Cellline,NA
UOK109_rep2,UOK109_rep2_1.fq.gz,UOK109_rep2_2.fq.gz,fq,Cellline,NA
UOK109_rep3,UOK109_rep3_1.fq.gz,UOK109_rep3_2.fq.gz,fq,Cellline,NA
UOK146_rep1,UOK146_rep1_1.fq.gz,UOK146_rep1_2.fq.gz,fq,Cellline,NA
UOK146_rep2,UOK146_rep2_1.fq.gz,UOK146_rep2_2.fq.gz,fq,Cellline,NA
UOK146_rep3,UOK146_rep3_1.fq.gz,UOK146_rep3_2.fq.gz,fq,Cellline,NA
sTFE_rep1,sTFE_rep1_1.fq.gz,sTFE_rep1_2.fq.gz,fq,Cellline,NA
sTFE_rep2,sTFE_rep2_1.fq.gz,sTFE_rep2_2.fq.gz,fq,Cellline,NA
sTFE_rep3,sTFE_rep3_1.fq.gz,sTFE_rep3_2.fq.gz,fq,Cellline,NA
FUUR-1_rep1,FUUR-1_rep1_1.fq.gz,FUUR-1_rep1_2.fq.gz,fq,Cellline,NA
FUUR-1_rep2,FUUR-1_rep2_1.fq.gz,FUUR-1_rep2_2.fq.gz,fq,Cellline,NA
FUUR-1_rep3,FUUR-1_rep3_1.fq.gz,FUUR-1_rep3_2.fq.gz,fq,Cellline,NA
R1A_UOK120,R1A_UOK120_1.fq.gz,R1A_UOK120_2.fq.gz,fq,Cellline,NA
R1B_UOK120,R1B_UOK120_1.fq.gz,R1B_UOK120_2.fq.gz,fq,Cellline,NA
R1C_UOK120,R1C_UOK120_1.fq.gz,R1C_UOK120_2.fq.gz,fq,Cellline,NA
R2A_UOK124,R2A_UOK124_1.fq.gz,R2A_UOK124_2.fq.gz,fq,Cellline,NA
R2B_UOK124,R2B_UOK124_1.fq.gz,R2B_UOK124_2.fq.gz,fq,Cellline,NA
R2C_UOK124,R2C_UOK124_1.fq.gz,R2C_UOK124_2.fq.gz,fq,Cellline,NA
R3A_UOK145,R3A_UOK145_1.fq.gz,R3A_UOK145_2.fq.gz,fq,Cellline,NA
R3B_UOK145,R3B_UOK145_1.fq.gz,R3B_UOK145_2.fq.gz,fq,Cellline,NA
R3C_UOk145,R3C_UOk145_1.fq.gz,R3C_UOk145_2.fq.gz,fq,Cellline,NA
