Gene_Name,Correl_Coeffs_5CV
A1BG,0.008846622181667322
A1CF,0.027711275344885256
A2M,0.020624560053650105
A2ML1,0.03318482566540955
A3GALT2,0.06174749337466097
A4GNT,0.09685695532250686
AAAS,0.03449770952156346
AACS,0.1247778791936067
AADAC,0.061861942494473424
AADACL2,0.039224544315038
AADACL3,-0.03894862861093525
AADACL4,0.012104802005260335
AADAT,-0.019010876463929273
AAGAB,0.1825462144538454
AAK1,0.16063831666058093
AAMDC,0.047798648307102926
AAMP,0.2840866733817261
AANAT,0.06089038552017375
AAR2,0.1268123486256373
AARD,0.08751683221981152
AARS1,0.11362447467380296
AARS2,0.2530043720980193
AARSD1,0.12440373185495887
AASDH,-0.043162610335650664
AASDHPPT,0.06579752572024318
AASS,0.08895358239196047
AATF,0.03378926304733191
AATK,0.11324064040011297
ABAT,0.08072313667273408
ABCA1,0.07559767725000473
ABCA10,-0.014215403318954248
ABCA12,0.03595268236216286
ABCA13,-0.007100886070745001
ABCA2,0.10977376356953814
ABCA3,0.10121070775352654
ABCA4,0.2549679675619719
ABCA5,0.08433063176893012
ABCA6,0.0554250926699066
ABCA7,0.02340591557219425
ABCA8,0.012709043025756211
ABCA9,0.09438930199763797
ABCB1,-0.0015314375655424233
ABCB10,0.09796415754080393
ABCB11,0.10158366928810621
ABCB4,0.05786866303387596
ABCB5,0.032457825877639034
ABCB6,0.10097430238734265
ABCB7,0.0835128711293101
ABCB8,0.04591306183781914
ABCB9,0.05458646675896387
ABCC1,0.13145593094438254
ABCC10,0.07295338501316939
ABCC11,0.1112575943871991
ABCC12,0.03748476076607673
ABCC2,0.013339041878968106
ABCC3,0.05555038611480264
ABCC4,-0.058717488033868295
ABCC5,0.06614509691343236
ABCC8,0.011158835557765054
ABCC9,-0.025232260947685565
ABCD1,0.04148685162623676
ABCD2,0.04695826535914882
ABCD3,0.14690184702095604
ABCD4,-0.007307670124118826
ABCE1,0.2368274153458326
ABCF1,0.19738821803814663
