Gene_Name,Correl_Coeffs_5CV
A1BG,0.05406724507225502
A1CF,0.015149644993410597
A2M,0.020227048657548978
A2ML1,0.04492689385909597
A3GALT2,0.03456051850016021
A4GNT,0.0630244590165461
AAAS,0.037069637650511016
AACS,0.1548134283731575
AADAC,0.06189463355275713
AADACL2,0.07286674059794748
AADACL3,-0.022272587807848236
AADACL4,0.025075233135650448
AADAT,-0.03580039871593424
AAGAB,0.11295584474989864
AAK1,0.22360328248209158
AAMDC,0.0668710042956716
AAMP,0.2608207570211169
AANAT,0.03719246376145709
AAR2,0.14261563210707265
AARD,0.13231368620781675
AARS1,0.13147746669061428
AARS2,0.2637754924996501
AARSD1,0.07991146860545838
AASDH,-0.01732905633960963
AASDHPPT,0.13333991102995152
AASS,0.028484333146143227
AATF,0.06716818006704502
AATK,0.12213567317952323
ABAT,0.08897175525155523
ABCA1,0.0778526033554294
ABCA10,-0.019241459033389047
ABCA12,0.07901322112606785
ABCA13,-0.003193896519467132
ABCA2,0.04764237235631548
ABCA3,0.0903499478364459
ABCA4,0.22476398884455
ABCA5,-0.03849158555813882
ABCA6,0.051823444388271925
ABCA7,0.04042691934926967
ABCA8,0.027074299220807528
ABCA9,0.020881471704323123
ABCB1,0.024193807793752898
ABCB10,0.01862104699106532
ABCB11,0.08536828826074597
ABCB4,0.02706036688592666
ABCB5,-0.0032576861838221104
ABCB6,0.13299460410302752
ABCB7,0.10647274076428008
ABCB8,0.07032817767135077
ABCB9,0.07061069384228706
ABCC1,0.023761808186582908
ABCC10,0.0564798717335766
ABCC11,0.06186285599160636
ABCC12,0.061063853818423955
ABCC2,-0.007021234710128474
ABCC3,0.10616473124677908
ABCC4,-0.02469255749972147
ABCC5,-0.017588304671203765
ABCC8,0.057398564777828474
ABCC9,0.03596606355063221
ABCD1,0.06681559108353516
ABCD2,0.0019873913220222806
ABCD3,0.19050370368083663
ABCD4,-0.014706430411126811
ABCE1,0.20411624848593451
ABCF1,0.17978147525141477
ABCF3,0.10821434226945406
ABCG1,-0.028540582860577646
ABCG2,0.05065069849958472
ABCG4,0.11369686344451342
ABCG5,0.008846833383077658
ABCG8,-0.00291187958128889
ABHD1,0.08955660493132575
ABHD10,0.057738714719342575
ABHD11,0.18811239932764148
ABHD12,0.0012390422456706087
ABHD12B,0.03997032532244266
ABHD13,0.16500097120363022
ABHD14A,0.13066623413540485
ABHD14B,0.06095656634653519
ABHD15,0.05964572664703567
ABHD16A,0.07182751206377083
ABHD16B,-0.036957424532761206
ABHD17A,0.09317144608801388
ABHD17B,0.027735893338383683
ABHD17C,0.1341847763226176
ABHD18,0.06718335533926212
ABHD2,0.060766093843864236
ABHD3,0.08138751702962771
ABHD4,0.006529570242313118
ABHD5,0.10548582812778143
ABHD6,0.020929097269376282
ABHD8,0.03617068894420196
ABI1,0.255379538746732
ABI2,0.03096586680230683
ABI3,0.06665253038200349
ABI3BP,0.059744948624588366
ABITRAM,0.08827498585445032
ABL1,0.35123416227721604
ABL2,0.08515470938534149
ABLIM1,0.013761782936200482
ABLIM2,0.0649434022516493
ABLIM3,-0.011773150257896981
ABR,0.13089839530610772
ABRA,0.045591865384539076
ABRACL,0.006673249728071451
ABRAXAS1,-0.003049815278206603
ABRAXAS2,0.08465607965134878
ABT1,0.047330235091668386
ABTB1,0.06255458459291363
ABTB2,0.05537169428230927
BTBD11,0.03451095701853037
ACAA1,0.09103713966128363
ACAA2,0.1406165277671783
ACACA,0.1384891297257702
ACACB,0.10361706167163591
ACAD10,0.034863244815452055
ACAD11,0.01968815497357993
ACAD8,0.18085399136895947
ACAD9,0.25982930050738356
ACADL,-0.014232804508618016
ACADM,0.0428939515245387
ACADS,0.10071961417147224
ACADSB,0.09386852877779225
ACADVL,0.03946136800724803
ACAN,0.023995238907274702
ACAP1,-0.036162326212157966
ACAP2,0.07957322922321453
ACAP3,0.1746982427266036
ACAT1,0.0379409507058189
ACAT2,0.13207559292374024
ACBD3,0.07499173070543622
ACBD4,0.11215845249694598
ACBD5,0.1123358462884273
ACBD6,0.075875678765862
ACBD7,0.09927400435205438
ACCS,0.05851341270672407
ACCSL,0.08216734323430304
ACD,0.3543089376198901
ACE,0.01967279495657948
ACE2,0.019874924181436077
ACER1,0.09542808394366889
ACER2,0.039037357880148275
ACER3,0.04066524744506111
ACHE,0.10224928325239473
ACIN1,0.06922896605910736
ACKR1,-0.04476939343790763
ACKR2,0.0902058245243936
ACKR3,0.012875233800659016
ACKR4,0.09558140095791498
ACLY,0.3642098623771683
ACMSD,0.0481429291106611
ACO1,0.09048470966064086
ACO2,0.4433059629176942
ACOT11,0.09672665706080699
ACOT12,0.0781443775875699
ACOT13,0.12368361353898441
ACOT2,0.09345028452219242
ACOT6,0.042983991012148504
ACOT7,0.04665990449120934
ACOT8,0.05059456992934832
ACOT9,-0.011706685334793382
ACOX1,0.29234416791291723
ACOX2,0.05377608256966354
ACOX3,0.0463641295899003
ACOXL,0.15885582508724477
ACP1,0.13493893472545246
ACP2,0.0354116053056157
ACPP,0.02351706764231823
ACP4,0.04785289002478116
ACP5,0.026338629878978448
ACP6,0.049974328863244745
ACP7,0.08973030682381301
ACR,0.18223815980997188
ACRBP,0.053654544117670046
ACRV1,0.08496060943370763
ACSBG1,0.02502556487125802
ACSF2,0.25036087046992084
ACSF3,-0.02166325308839894
ACSL1,0.06415679590643181
ACSL3,0.3768028730908966
ACSL4,0.3031348935493638
ACSL5,0.006630673293103644
ACSL6,0.051256587813630995
ACSM1,0.09264364675214323
ACSM3,0.08950280347069242
