Gene_Name,Correl_Coeffs_5CV
A1BG,0.093312211575114
A1CF,0.1428742582588442
A2M,0.08237731825190173
A2ML1,0.03500068253570268
A3GALT2,0.049518961083716014
A4GNT,0.14085873818827682
AAAS,0.15977388133703627
AACS,0.23015066594159278
AADAC,0.08811666840346292
AADACL2,0.09314952759955455
AADACL3,0.018052706656825974
AADACL4,0.07362993087424405
AADAT,0.07655610048512382
AAGAB,0.2712072360698004
AAK1,0.19714405657908493
AAMDC,0.10649371705405468
AAMP,0.4534003257828414
AANAT,0.10078061075670205
AAR2,0.20052311457891275
AARD,0.13558486071243667
AARS1,0.12018088358627599
AARS2,0.41553481944059206
AARSD1,0.06209337743638919
AASDH,0.022436315825950407
AASDHPPT,0.2668008692048097
AASS,0.07804092441372565
AATF,0.15359279831630707
AATK,0.14353286953385316
ABAT,0.06964337292252303
ABCA1,0.15921866660366515
ABCA10,0.10356143322909599
ABCA12,0.11447358827800218
ABCA13,0.05872406725630099
ABCA2,0.10633455083968399
ABCA3,0.09062626091306389
ABCA4,0.28382771924440264
ABCA5,0.061596676376284264
ABCA6,0.08621711544116836
ABCA7,0.07250295966985729
ABCA8,-0.001376867252759001
ABCA9,0.14122150345896325
ABCB1,0.10415961971700467
ABCB10,0.11605205602701578
ABCB11,0.13225348076055887
ABCB4,0.07767383719898588
ABCB5,0.0997435991900009
ABCB6,0.17935986949567578
ABCB7,0.260303452596098
ABCB8,0.14046558589096564
ABCB9,0.1071862193039057
ABCC1,0.14126860504631492
ABCC10,0.07565389380657571
ABCC11,0.049537514127138776
ABCC12,0.039185838244829865
ABCC2,0.0031881428492046004
ABCC3,0.15335554133587045
ABCC4,0.019086050790428695
ABCC5,0.12049619873696386
ABCC8,0.06710420270165154
ABCC9,0.06421122858399828
ABCD1,0.21865759481551578
ABCD2,0.004242219795009805
ABCD3,0.24953182401245724
ABCD4,0.019701307945866747
ABCE1,0.38652371373173533
ABCF1,0.27497144960300535
ABCF3,0.1048517893726976
ABCG1,0.008546136630456475
ABCG2,0.10835955325962746
ABCG4,0.12439507242795336
ABCG5,0.07947388364568753
ABCG8,0.03355118353655116
ABHD1,0.126179343471654
ABHD10,0.1410965264964929
ABHD11,0.22076364267295898
ABHD12,0.16284538901076964
ABHD12B,0.17774264400721157
ABHD13,0.22538290746833942
ABHD14A,0.1503233059245152
ABHD14B,0.12276312110303877
ABHD15,0.19175742307358587
ABHD16A,0.16435564109482553
ABHD16B,0.05127621303758628
ABHD17A,0.20616638885009278
ABHD17B,0.07957419621757704
ABHD17C,0.2055912772001156
ABHD18,0.1033384999603298
ABHD2,0.1680032174090268
ABHD3,0.13606885349359957
ABHD4,0.027428418249319287
ABHD5,0.1508393458457195
ABHD6,0.09954607266427525
ABHD8,0.08335249319934497
ABI1,0.33075171190131747
ABI2,0.12216300502551367
ABI3,0.11482464827615146
ABI3BP,0.1603242803426384
ABITRAM,0.053863283583212206
ABL1,0.13509555705807402
ABL2,0.15044207835359277
ABLIM1,0.12189089792017578
ABLIM2,0.10346104439055029
ABLIM3,0.07868983190625825
ABR,0.1816481352041329
ABRA,0.062235121386150075
ABRACL,0.03420161960660789
ABRAXAS1,0.07303789303382831
ABRAXAS2,0.20627613431758376
ABT1,0.21336100427061483
ABTB1,0.1378173870515363
ABTB2,0.1528290000575917
BTBD11,0.14735186368967573
ACAA1,0.1476608886489443
ACAA2,0.15839070209890754
ACACA,0.27950524385327113
ACACB,0.16179552611077727
ACAD10,0.03775106079058767
ACAD11,0.03683405467616754
ACAD8,0.21930318467524668
ACAD9,0.3260806511094773
ACADL,0.026901516311666103
ACADM,0.08331303368586981
ACADS,0.17632056850127706
ACADSB,0.08668009126119841
ACADVL,0.030661025280572695
ACAN,0.09809232828602836
ACAP1,0.017605154336670308
ACAP2,0.14604765356024063
ACAP3,0.21381320005528015
ACAT1,0.09228858284365485
ACAT2,0.23096962342782207
ACBD3,0.15756893700745786
ACBD4,0.2517542430677392
ACBD5,0.12030610823232438
ACBD6,0.12626148260881473
ACBD7,0.06913923377291016
ACCS,0.07422032196718467
ACCSL,0.10797204781638765
ACD,0.4615267683708314
ACE,0.06841641826303349
ACE2,0.045257556414883084
ACER1,0.09671098575642331
ACER2,0.024497499032860186
ACER3,0.05731724045543152
ACHE,0.1500727734081931
ACIN1,0.15859446981034792
ACKR1,-0.02087056276822553
ACKR2,0.11339441728856928
ACKR3,0.062177499582292614
ACKR4,0.19213477054063116
ACLY,0.4533845877263076
ACMSD,0.08571602357176676
ACO1,0.10942995135537667
ACO2,0.5161355465712167
ACOT11,0.16377103568627313
ACOT12,0.21163302675701998
ACOT13,0.1107045499621295
ACOT2,0.09137540503329912
ACOT6,0.15139119901284848
ACOT7,0.07812292061615608
ACOT8,0.1218128895008217
ACOT9,-0.020642411662521478
ACOX1,0.37371501880984714
ACOX2,0.09514487537225405
ACOX3,0.11695518111451289
ACOXL,0.2371931773997827
ACP1,0.19055749991876916
ACP2,0.10684945404965848
ACPP,0.11347960088668589
ACP4,0.11715021797491214
ACP5,0.047068709221271106
ACP6,0.1441964851943815
ACP7,0.11642441471773993
ACR,0.25218716085945575
ACRBP,0.16618178336670425
ACRV1,0.2383265607744613
ACSBG1,0.10742350100004579
ACSF2,0.21085569750597982
ACSF3,0.05546248433029766
ACSL1,0.16709141436629263
ACSL3,0.4539188207984992
ACSL4,0.431929981779532
ACSL5,0.10037061870659994
ACSL6,0.17743031298142523
ACSM1,0.14920327319386878
ACSM3,0.08838620630565344
ACSM4,0.0616913478481612
ACSM5,0.0929698311758565
ACSM6,0.11221618250710474
ACSS1,-0.021862607698642355
ACSS2,0.2646214708376201
ACSS3,0.22410254567410334
ACTA1,0.1989825009350607
ACTA2,0.10658101152246244
ACTB,0.46360756511279266
ACTBL2,0.024519486084043744
ACTC1,0.0604962881890457
ACTG1,0.3774294931701131
ACTG2,0.02667063273496225
ACTL10,0.22949089603846665
ACTL6A,0.3263221912518676
ACTL6B,0.09098541707577976
ACTL7A,0.1481089358823262
ACTL7B,0.07901947645256205
ACTL8,0.07273544326511253
C19orf54,0.15989680623643937
ACTN1,0.15938093840935516
ACTN2,0.08627361226010127
ACTN4,0.18801748137263283
ACTR10,0.3713751725942537
ACTR1A,0.46696332385271927
ACTR1B,0.2401738385910323
ACTR2,0.33957280710913657
ACTR3,0.497839473953845
ACTR3B,0.11185102752675555
ACTR5,0.2625311707421124
ACTR6,0.21768221598438445
ACTR8,0.2214702968854069
ACTRT1,0.11252355133216688
ACTRT2,0.18650507532408037
ACTRT3,0.12228937986459301
ACVR1,0.14439125841288938
ACVR1B,0.18213634546100374
ACVR1C,0.12905801271805856
ACVR2A,0.15253210389949018
ACVR2B,0.20343824107438083
ACVRL1,0.1483531925638217
ACY1,0.13523694549069998
ACY3,0.11226762966025294
ACYP1,0.03973564314713155
ACYP2,0.10279941710398566
ADA,0.04123682802135027
ADA2,0.09013311814012617
ADAD1,0.08219553846433345
ADAD2,0.030375822914613833
ADAL,0.13909463385632231
ADAM10,0.27266658512647474
ADAM11,0.29223418144317687
ADAM12,0.04274633126729845
ADAM15,0.08538790589466451
ADAM17,0.0909205134305144
ADAM18,0.11826306845434269
ADAM19,0.11647571253264952
ADAM2,0.13399439789128684
ADAM20,0.11624312185789029
ADAM21,0.08975025259775238
ADAM22,0.089655443903106
ADAM23,0.021100415143875798
ADAM28,0.044233480814204716
ADAM29,0.07852736721335461
ADAM30,0.11747377636687768
ADAM32,0.1492777610679032
