Gene_Name,Correl_Coeffs_5CV
A1BG,0.095881424086
A1CF,0.11450539035424911
A2M,0.04629667302022207
A2ML1,-0.017577278757655485
A3GALT2,0.031334869161154195
A4GNT,0.09677362881239102
AAAS,0.10216847199299166
AACS,0.1511372530829885
AADAC,0.05395634976305157
AADACL2,0.06660254617252835
AADACL3,0.002926006085135805
AADACL4,0.05934901715185561
AADAT,0.008197563547302604
AAGAB,0.194944114998217
AAK1,0.22406025342327834
AAMDC,0.05440716090036912
AAMP,0.3700603664230992
AANAT,0.05177050483066108
AAR2,0.13175790573828863
AARD,0.1066487328203752
AARS1,0.12474218421668433
AARS2,0.3425373391993871
AARSD1,0.07854130608793318
AASDH,0.017245473799311063
AASDHPPT,0.17211632628306306
AASS,0.0461972979898548
AATF,0.057058969518489086
AATK,0.11778885950416851
ABAT,0.01985260180697292
ABCA1,0.036435170561004024
ABCA10,0.06321535867049385
ABCA12,0.06680316816909589
ABCA13,0.0391884240215017
ABCA2,0.09289285071209304
ABCA3,0.06602840794849232
ABCA4,0.2535934741528331
ABCA5,0.0635285236053343
ABCA6,0.09514695921675138
ABCA7,0.05347075058456535
ABCA8,0.03485978796453463
ABCA9,0.11116636760509513
ABCB1,0.050193194136899745
ABCB10,0.09935150762041947
ABCB11,0.10331183787916198
ABCB4,0.07170386289861702
ABCB5,0.08274947970510231
ABCB6,0.1349366481500936
ABCB7,0.19261816852362768
ABCB8,0.05205395380853404
ABCB9,0.0844643726722787
ABCC1,0.008150967473133533
ABCC10,0.030272850290110297
ABCC11,0.02123757879707334
ABCC12,0.06931142501418999
ABCC2,0.04119162498770091
ABCC3,0.08379048500422918
ABCC4,0.030186237065506726
ABCC5,0.10794855734573802
ABCC8,0.0292617121182908
ABCC9,0.08643796107841865
ABCD1,0.12804801246093475
ABCD2,0.047894809662066794
ABCD3,0.1502136936434753
ABCD4,-0.03054645315776041
ABCE1,0.3006283768601296
ABCF1,0.19964271539891404
ABCF3,0.03953165029984129
ABCG1,0.013806119247070831
ABCG2,0.04328173299614717
ABCG4,0.11490084162248075
ABCG5,0.01475295355159834
ABCG8,0.032365767384721356
ABHD1,0.07915032313870712
ABHD10,0.12551916166944815
ABHD11,0.21788218696670877
ABHD12,0.058201613236070336
ABHD12B,0.01471702376201249
ABHD13,0.15797084497339534
ABHD14A,0.1473405695981615
ABHD14B,0.05272512779269456
ABHD15,0.19890817682526019
ABHD16A,0.16576522790332446
ABHD16B,0.05419298036700069
ABHD17A,0.11640948623001561
ABHD17B,0.06905089516198269
ABHD17C,0.15106037553063634
ABHD18,0.02492675568165769
ABHD2,0.09781478316874927
ABHD3,0.06625856753661688
ABHD4,-0.033798068206962434
ABHD5,0.13592704444239928
ABHD6,0.11150920584529893
ABHD8,0.056300489486762306
ABI1,0.26993574728262126
ABI2,0.13411540973919978
ABI3,0.10300081431982008
