Gene_Name,Correl_Coeffs_5CV
A1BG,0.10599547670902856
A1CF,0.14244093050924928
A2M,0.062322106469478465
A2ML1,0.029616631686678118
A3GALT2,0.07122033516843554
A4GNT,0.11348316357160762
AAAS,0.13285946312054991
AACS,0.14944332227409407
AADAC,0.047414583042688564
AADACL2,0.04089608059853655
AADACL3,0.038046382448328954
AADACL4,0.11075931411423949
AADAT,0.08346659111450033
AAGAB,0.26214241584064135
AAK1,0.24544585110098943
AAMDC,0.09017912248845704
AAMP,0.43510732034465827
AANAT,0.12989552239958146
AAR2,0.19453088498278034
AARD,0.10051817209523875
AARS1,0.1393355161894387
AARS2,0.3941201766098844
AARSD1,0.06674544551363622
AASDH,0.035666171139454236
AASDHPPT,0.23328323597231448
AASS,0.07404424777593385
AATF,0.08864806759985935
AATK,0.1096888645177229
ABAT,0.029973408241804316
ABCA1,0.11739270877663914
ABCA10,0.08984849223459003
ABCA12,0.14141984278572878
ABCA13,0.04872422657064644
ABCA2,0.0938151436035968
ABCA3,0.0509461765237285
ABCA4,0.2613055142696104
ABCA5,0.08185254336392797
ABCA6,0.039998260984410325
ABCA7,0.07116861996479004
ABCA8,0.020340134351628975
ABCA9,0.12111041995788216
ABCB1,0.1247134956435512
ABCB10,0.07801218055476093
ABCB11,0.09042732923525901
ABCB4,0.06253746996071281
ABCB5,0.034363890393111995
ABCB6,0.14374410392442258
ABCB7,0.24940169438937776
ABCB8,0.10292046227339229
ABCB9,0.1045136945990796
ABCC1,0.04788152879346698
ABCC10,-0.010324803761478873
ABCC11,0.0735660989166173
ABCC12,0.07097202655835008
ABCC2,0.026926469447484225
ABCC3,0.11198878028264977
ABCC4,0.03848219286349863
ABCC5,0.10782871564117742
ABCC8,0.07858273185435356
ABCC9,0.09035120464891579
ABCD1,0.15320098157047213
ABCD2,-0.03402418993078297
ABCD3,0.19179801344375874
ABCD4,-0.01625918932544661
ABCE1,0.3546515047906922
ABCF1,0.26701439482551353
ABCF3,0.08911200672586903
ABCG1,0.005324142029603507
ABCG2,0.10490233468339998
ABCG4,0.13546344754493728
ABCG5,0.039749005657411116
ABCG8,0.0033296571563817823
ABHD1,0.10776868298248146
ABHD10,0.1443112958727067
ABHD11,0.20561779735255287
ABHD12,0.10025185025241368
ABHD12B,0.12598385992227898
ABHD13,0.19900421336768298
ABHD14A,0.15154099318954817
ABHD14B,0.032303269167837254
ABHD15,0.1788406997434001
ABHD16A,0.17448592497676776
ABHD16B,0.10677017262206814
ABHD17A,0.1646924766700383
ABHD17B,0.0495828295271964
ABHD17C,0.18632164555896782
ABHD18,0.06678341394617497
ABHD2,0.12426198009696221
ABHD3,0.11952045234965095
ABHD4,-0.014738309858439597
ABHD5,0.16151226674979458
ABHD6,0.10139050381308727
ABHD8,0.06480878726008296
ABI1,0.3360590265187568
ABI2,0.15007654674148377
ABI3,0.14939458739937
ABI3BP,0.09981225758604786
ABITRAM,0.04957048997429679
ABL1,0.20136803479929138
ABL2,0.1382082061127518
ABLIM1,0.08645305396334459
ABLIM2,0.07377213433355982
ABLIM3,0.09272281587269068
ABR,0.18865050813955045
ABRA,0.06992640853923474
ABRACL,0.018092102559805465
ABRAXAS1,0.07031908929889887
ABRAXAS2,0.17494572687591722
ABT1,0.12384833596426606
ABTB1,0.15195656422908152
ABTB2,0.09196773208777438
BTBD11,0.12754612728180975
ACAA1,0.10052320056158703
ACAA2,0.14044560741696413
ACACA,0.24133254285384168
ACACB,0.1609227561208458
ACAD10,0.012770773822375847
ACAD11,0.02003385776423794
ACAD8,0.1724364568285716
ACAD9,0.33264078674300623
ACADL,0.09305047857919282
ACADM,0.06845671323645668
ACADS,0.15228743768137265
ACADSB,0.10572704043536721
ACADVL,0.0011818235687584518
ACAN,0.1348164000352863
ACAP1,0.029395365105086092
ACAP2,0.12116133373644082
ACAP3,0.18611941006828475
ACAT1,0.09991898249046086
ACAT2,0.2093635941711173
ACBD3,0.166585396567838
ACBD4,0.2016444374997758
ACBD5,0.05279524917680474
ACBD6,0.17687011185323037
ACBD7,0.12226431393972052
ACCS,0.08670202657161254
ACCSL,0.09112191771179384
ACD,0.45776582633100144
ACE,0.09321921251868863
ACE2,0.07681079924128605
ACER1,0.04558167738802511
ACER2,0.028394463366190927
ACER3,0.01934397718002319
ACHE,0.14991169282645395
ACIN1,0.15565188156270895
ACKR1,-0.048275279134817196
ACKR2,0.09301208432403271
ACKR3,0.056848258706132096
ACKR4,0.17979433170168152
ACLY,0.4301465874048914
ACMSD,0.09753797004346275
ACO1,0.11239001318053106
ACO2,0.5171722258799422
ACOT11,0.15536961151786927
ACOT12,0.14645905246935936
ACOT13,0.07273976869562629
ACOT2,0.08615487250511655
ACOT6,0.13183824595056812
ACOT7,0.0738835702152711
ACOT8,0.054611521566748936
ACOT9,0.0032608388360770694
ACOX1,0.3612128285110107
ACOX2,0.06674144125127429
ACOX3,0.11458906776947275
ACOXL,0.22620866807535073
ACP1,0.19732302102700885
ACP2,0.06186100104743477
ACPP,0.15182625719236723
ACP4,0.06106838568115132
ACP5,0.06599402500675605
ACP6,0.09073179035488897
ACP7,0.10748935162763484
ACR,0.25082934973159643
ACRBP,0.11776887249544972
ACRV1,0.15714888724254225
ACSBG1,0.07576179635718538
ACSF2,0.2393957038097772
ACSF3,0.03962035414517591
ACSL1,0.14969826187245555
ACSL3,0.4629598934078386
ACSL4,0.40760802183423445
ACSL5,0.09308658042986517
ACSL6,0.09821215036525563
ACSM1,0.14179163240967046
ACSM3,0.05627161345643089
ACSM4,0.021417167908522376
ACSM5,0.08619262542386316
ACSM6,0.062222189625206356
ACSS1,0.07388346176653643
ACSS2,0.2566596804874276
ACSS3,0.18731755330150168
ACTA1,0.1421935423784113
ACTA2,0.09165764412400512
ACTB,0.43961114389647815
ACTBL2,0.06397480890139617
ACTC1,0.07712237192438888
ACTG1,0.4023421464956213
ACTG2,0.09342686877789776
ACTL10,0.23221610160245904
ACTL6A,0.24639185438299363
ACTL6B,0.0835453860129528
ACTL7A,0.14228956331525486
ACTL7B,0.08800325208979401
ACTL8,0.04956039436363076
C19orf54,0.14354521198736422
ACTN1,0.10336549830907613
ACTN2,0.012087907921350559
ACTN4,0.1709090710527027
ACTR10,0.328744427009647
ACTR1A,0.47357254501778945
ACTR1B,0.21546123697401726
ACTR2,0.3226192963486267
ACTR3,0.443223644629381
ACTR3B,0.07584023918659545
ACTR5,0.2295587076201823
ACTR6,0.24827025486873772
ACTR8,0.18056751687887745
ACTRT1,0.12697749462304725
ACTRT2,0.18468666463472655
ACTRT3,0.09136133027436495
ACVR1,0.13709720391768523
ACVR1B,0.11491403115235096
ACVR1C,0.10139492864387287
ACVR2A,0.13052341815167393
ACVR2B,0.12442948617349718
ACVRL1,0.13057891521473824
ACY1,0.09532259109444338
ACY3,0.09487031452155523
ACYP1,0.0013840085396697426
ACYP2,0.08486679224865873
ADA,0.032940037612516855
ADA2,0.11400784693244277
ADAD1,0.11485130533615777
ADAD2,0.029401705657875025
ADAL,0.11790643919668112
ADAM10,0.2217582443087863
ADAM11,0.30616493772509257
ADAM12,0.05133828661285703
ADAM15,0.05660806579867285
ADAM17,0.11418921977145846
ADAM18,0.10345627483184575
ADAM19,0.08555853944522462
ADAM2,0.1148914501765218
ADAM20,0.0862624298313803
ADAM21,0.06754801296625955
ADAM22,0.07818911298388861
ADAM23,-0.03905364881131804
ADAM28,-0.0046454833633644815
ADAM29,0.07553449843335247
ADAM30,0.1841218133190271
ADAM32,0.18795851577227807
ADAM33,0.10071274790158943
ADAM7,0.04582266486537736
ADAM8,0.043234162574413273
ADAM9,0.06524965553678998
ADAMDEC1,0.012035774361878058
ADAMTS1,0.11693152499800116
ADAMTS10,0.15680382559067102
ADAMTS12,0.061507462127109926
ADAMTS13,0.08068459385739739
ADAMTS14,0.14820591598582888
ADAMTS15,0.24051421737745865
ADAMTS16,0.09752030434073343
ADAMTS17,0.07803159577442469
ADAMTS18,0.015890728575927215
ADAMTS19,0.11498979641697163
ADAMTS2,0.08992634001748834
ADAMTS20,0.06626629873803483
ADAMTS3,-0.00041576591818956313
ADAMTS4,0.0734439543182993
ADAMTS5,0.15235709913696732
ADAMTS6,0.01373013462462822
ADAMTS8,0.2125969753245403
ADAMTS9,0.12740018573267872
ADAMTSL1,-0.007984648133347705
ADAMTSL2,0.029843040576582276
ADAMTSL3,0.09069583446619756
ADAMTSL4,0.16199268540514744
ADAMTSL5,0.0765513171529955
ADAP1,0.0926341296564851
ADAP2,0.14177322388390015
ADAR,0.42411695491860735
ADARB1,0.06495327502991687
ADARB2,0.06019172256040839
ADAT1,0.1265037222839173
ADAT2,0.33114102219762875
ADAT3,0.32347565955287283
ADCK1,0.03611089859306685
ADCK2,0.10107904847744838
ADCK5,0.10840636952705471
ADCY1,0.11086935884647134
ADCY10,0.010505426320062277
ADCY2,0.038561518288750464
ADCY3,0.19988307907074784
ADCY4,0.11583788604685921
ADCY5,0.19404438155318893
ADCY6,0.100234741576995
ADCY7,0.09208858399127742
ADCY8,0.021750986260331957
ADCY9,0.13718716546675372
ADCYAP1R1,0.13938530900047444
ADD1,0.22693355928676331
ADD2,0.09642335022200317
ADD3,0.06284855374027967
ADGRA1,0.10949960572727861
ADGRA2,0.11888860402386481
ADGRA3,0.0330014941522105
ADGRB1,0.0484023131579853
ADGRB2,0.1516626954761239
ADGRB3,0.08613143135508697
ADGRD1,0.13194297927435497
ADGRE1,0.04835427984849617
ADGRE2,0.1592813641057773
ADGRE3,0.18777588645008172
ADGRE5,0.022414777392798447
ADGRF1,0.06338687886541135
ADGRF3,0.07405265264459653
ADGRF4,0.1252072642641108
ADGRF5,0.14873167428274842
ADGRG1,0.07839647272273469
ADGRG2,0.017113139229602118
ADGRG3,0.1327554327341874
ADGRG4,0.013772554831776052
ADGRG5,0.19797977825652974
ADGRG6,0.14902218645226167
ADGRG7,0.11220391743514795
ADGRL1,0.19663600616704796
ADGRL2,0.07207660686058556
ADGRL3,0.043807992455988536
ADGRL4,0.09838513664238532
ADGRV1,0.00046000763765176035
ADH1A,0.10350360062719355
ADH1B,0.056013951661489994
ADH4,0.047054476163358075
ADH5,0.11310401416627003
ADH6,0.0010096115169624432
ADH7,0.053475459262004074
ADHFE1,0.11239207828843131
ADI1,0.05753591866561719
ADIG,0.14374692624784383
ADIPOQ,0.07435732699611337
ADIPOR1,0.16727295581386578
ADIPOR2,0.31240964008404093
ADIRF,0.054724523291774185
ADM,0.03749978662993146
ADM2,0.14526059573749237
ADM5,0.14197457593783921
ADNP,0.280898319203541
ADNP2,0.08013749326714614
ADO,0.20143209856713956
ADORA1,0.02832968056496914
ADORA2A,0.1100797911606705
ADORA2B,0.04595934191579448
ADPRH,0.07684090638528396
ADPRHL1,0.054969662969392555
ADPRM,0.08126088607105543
ADPRHL2,0.16180641335515555
ADRA1A,0.09998237788870326
ADRA1D,0.1082796199975998
ADRA2B,0.0790490676238898
ADRA2C,0.008157389498238816
ADRB1,0.1034102598947122
ADRB2,0.05532926455882864
ADRB3,0.02662606772388331
ADRM1,0.3454665654382899
ADSL,0.6184687198933404
ADSS1,0.1326257641038482
ADSS2,0.533965263131582
ADTRP,0.026148553168938694
AEBP1,0.21633915543481158
AEBP2,0.24158721977858516
AEN,0.1576690861722555
AFAP1,0.1081479078266406
AFAP1L1,0.0642125934186569
AFAP1L2,0.06488936183576095
AFDN,0.36727633880519067
AFF1,0.26889202326744444
AFF2,0.1418912556353336
AFF3,0.09998481275237901
AFF4,0.16723041856908502
AFG1L,-0.02866055505827888
AFG3L2,0.1815199408627059
AFM,0.08604740615973713
AFMID,0.1260736288577986
AFP,0.0547967383151408
AFTPH,0.07910359837977073
AGA,0.09706388242998439
AGAP1,0.15600751579201738
AGAP2,0.20510356425785092
AGAP6,0.34486797922048085
AGBL1,0.0650387348433166
AGBL2,0.05661046202854227
AGBL3,0.16816067847971994
AGBL4,0.09300902311203259
AGBL5,0.10605932084904739
AGER,0.166577953074072
AGFG1,0.2186585281795689
AGFG2,0.047573172913158684
AGGF1,0.08944927875832573
AGK,0.18661689648452953
AGL,0.09120688918079824
AGMAT,0.10571864338415267
AGMO,0.14145128685743485
AGO1,0.16478871360239003
AGO2,0.20884260721354794
AGO3,0.16956551828201574
AGO4,0.12056009098812678
AGPAT1,0.2581988142372348
AGPAT2,0.10032046090001004
AGPAT3,0.11673554215986007
AGPAT4,0.07228744014362339
AGPAT5,0.22039253785764687
AGPS,0.34412900774933863
AGR2,0.23199710684684222
AGR3,0.12841060183885386
AGRN,0.19819729232393724
AGRP,0.10161087822147816
AGT,0.05603318083701153
AGTPBP1,0.1045436578006315
AGTR1,0.013692473150802704
AGTR2,0.07758798696560196
