Gene_Name,Correl_Coeffs_5CV
A1BG,0.07225177971522824
A1CF,0.08433579757277421
A2M,0.011739219127299048
A2ML1,0.005900630207587592
A3GALT2,-0.0039511399289305724
A4GNT,0.1614420896422714
AAAS,0.1560972606700964
AACS,0.20982346820853648
AADAC,0.07003782655844588
AADACL2,0.023817030252446785
AADACL3,-0.004110052107463141
AADACL4,0.0402100312446037
AADAT,0.07797161769039476
AAGAB,0.2766237404254466
AAK1,0.23847934607353477
AAMDC,0.10927870074197846
AAMP,0.44035732507796127
AANAT,0.08280701426446695
AAR2,0.2241351112766808
AARD,0.12623226051604441
AARS1,0.10817459863913281
AARS2,0.4277305570715554
AARSD1,0.09212414082220535
AASDH,0.026409066498404098
AASDHPPT,0.27590079683708063
AASS,0.02075513058896475
AATF,0.17005254783321916
AATK,0.1530723446768679
ABAT,0.08265042402035774
ABCA1,0.17419231192522414
ABCA10,0.10736862087413442
ABCA12,0.08398001464403525
ABCA13,0.03436119269680063
ABCA2,0.09872488312716102
ABCA3,0.06647339435701885
ABCA4,0.3116721389122986
ABCA5,0.057323037468764174
ABCA6,0.10603012514548378
ABCA7,0.059008893630827106
ABCA8,0.04352205292548918
ABCA9,0.14246845321599758
ABCB1,0.0912565919876746
ABCB10,0.09802723652545339
ABCB11,0.11063656417161687
ABCB4,0.08841960226933496
ABCB5,0.07412643117682585
ABCB6,0.15400707647930217
ABCB7,0.29100145706541947
ABCB8,0.14938482192745553
ABCB9,0.10142484671111689
ABCC1,0.11303784781174422
ABCC10,0.06525417224741553
ABCC11,0.05560279204717726
ABCC12,0.08493266958466159
ABCC2,0.019114133586090154
ABCC3,0.14854448657677163
ABCC4,0.040792407912855974
ABCC5,0.08666336093981478
ABCC8,0.11197558765184337
ABCC9,0.09656545698109593
ABCD1,0.19698563901690416
ABCD2,-0.023643455945156065
ABCD3,0.2258315813933164
ABCD4,0.028644571925919494
ABCE1,0.40050645798542284
ABCF1,0.2666462953729687
ABCF3,0.07711627335322586
ABCG1,0.040865908311160805
ABCG2,0.10378252502377708
ABCG4,0.12637950404200782
ABCG5,0.10416876782480555
ABCG8,-0.016870784105402933
ABHD1,0.09858664265038997
ABHD10,0.1628786849649746
ABHD11,0.2602185793598754
ABHD12,0.14174359184103938
ABHD12B,0.17681031066010897
ABHD13,0.22518300992222975
ABHD14A,0.14205585340176413
ABHD14B,0.046698017035102825
ABHD15,0.16424797577811284
ABHD16A,0.1828527952305608
ABHD16B,0.05078969923222267
ABHD17A,0.20635041157571177
ABHD17B,0.09060497433283947
ABHD17C,0.21170036089379457
ABHD18,0.06412378901286644
ABHD2,0.12974663145720514
ABHD3,0.10962323743050333
ABHD4,0.021282194914078026
ABHD5,0.18409303316700956
ABHD6,0.08132217225220331
ABHD8,0.11183388798326381
ABI1,0.3354694446790976
ABI2,0.12489873552736239
ABI3,0.12398460797810562
ABI3BP,0.1462977165448836
ABITRAM,0.05806256342717212
ABL1,0.24727034698977293
ABL2,0.10595299444170334
ABLIM1,0.08629131692438012
ABLIM2,0.07512948188210426
ABLIM3,0.06354133123140263
ABR,0.2079331479365171
ABRA,0.03565017411044075
ABRACL,-0.0022305059303283125
ABRAXAS1,0.053464679729408125
ABRAXAS2,0.21214076354463937
ABT1,0.20379810247143784
ABTB1,0.12491540630691415
ABTB2,0.09693789168190088
BTBD11,0.12820080672279668
ACAA1,0.11768968372783029
ACAA2,0.14406875249220308
ACACA,0.3160706174096964
ACACB,0.16453034516347223
ACAD10,0.03470399185066074
ACAD11,0.04789679637274288
ACAD8,0.24457669581352653
ACAD9,0.2939152840935396
ACADL,0.03504275462031865
ACADM,0.09658729145412073
ACADS,0.1440230248973021
ACADSB,0.10411237635476508
ACADVL,0.06675492942427055
ACAN,0.11778465812110994
ACAP1,-0.012338593058856488
ACAP2,0.1343534793691191
ACAP3,0.2155552753955326
ACAT1,0.07150110275045071
ACAT2,0.27998838100264667
ACBD3,0.16772784844500493
ACBD4,0.2472588180166806
ACBD5,0.08663619601370647
ACBD6,0.10547768219139171
ACBD7,0.08689779822460818
ACCS,0.059503447546177514
ACCSL,0.07925878892348774
ACD,0.4423307396791203
ACE,0.04988911372512644
ACE2,0.027407063676548455
ACER1,0.04592360182829154
ACER2,0.0063207521322510615
ACER3,0.02351941864197065
ACHE,0.14267098022487418
ACIN1,0.16985836447386227
ACKR1,0.028581488908881174
ACKR2,0.12707434453789873
ACKR3,0.051808605848672785
ACKR4,0.15819720666225484
ACLY,0.46620040237592325
ACMSD,0.09923677989810754
ACO1,0.09915169359682648
ACO2,0.4990610696189113
ACOT11,0.15444717633817415
ACOT12,0.22309351282526918
ACOT13,0.07091862200551782
ACOT2,0.07217230969302295
ACOT6,0.1582544905400405
ACOT7,0.0988608528429651
ACOT8,0.10285509708492975
ACOT9,-0.018053312835967433
ACOX1,0.3704282060657248
ACOX2,0.07822519790688384
ACOX3,0.06892423162748879
ACOXL,0.24576376496142222
ACP1,0.20568018108708172
ACP2,0.10634989318605856
ACPP,0.14037484931532876
ACP4,0.05981037724100089
ACP5,-0.00403073786882735
ACP6,0.07339358425632855
ACP7,0.12039324486616435
ACR,0.2422116714612632
ACRBP,0.17231119583895432
ACRV1,0.22540710724819896
ACSBG1,0.06318273073931138
ACSF2,0.2723089364998027
ACSF3,0.04062481474594867
ACSL1,0.15686706632681938
ACSL3,0.4397494047103775
ACSL4,0.4622409179310588
ACSL5,0.09765965140686643
ACSL6,0.19307510739589398
ACSM1,0.1682817487540178
ACSM3,0.1134945127967826
ACSM4,0.07067126217973671
